Current Time,Pointer Origin,Pointer Direction
7/2/2021 8:36:23 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
7/2/2021 8:36:24 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
7/2/2021 8:36:25 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
7/2/2021 8:36:26 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
7/2/2021 8:36:27 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
