Current Time,Pointer Origin,Pointer Direction
7/2/2021 12:41:59 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
7/2/2021 12:42:00 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
7/2/2021 12:42:01 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
7/2/2021 12:42:02 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
7/2/2021 12:42:03 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
7/2/2021 12:42:04 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
7/2/2021 12:42:05 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
7/2/2021 12:42:06 PM,(0.0; 0.0; 0.0),(0.0; 0.0; 1.0)
